MatchID,Team1,Team2,Team1Odds,Team2Odds,Winner,Team1winchance,Team2winchance,w_ts_after_game,l_ts_after_game,w_ts_before_game,l_ts_before_game
2340942,313,172,1.57,2.25,1,0.591,0.40900000000000003,"trueskill.Rating(mu=27.659, sigma=0.813)","trueskill.Rating(mu=26.131, sigma=0.795)","trueskill.Rating(mu=27.586, sigma=0.813)","trueskill.Rating(mu=26.201, sigma=0.795)"
2340884,634,483,2.2,1.61,2,0.554,0.446,"trueskill.Rating(mu=25.878, sigma=0.886)","trueskill.Rating(mu=26.471, sigma=0.857)","trueskill.Rating(mu=25.761, sigma=0.889)","trueskill.Rating(mu=26.581, sigma=0.859)"
2340843,56,247,1.14,5.0,1,0.746,0.254,"trueskill.Rating(mu=29.458, sigma=0.802)","trueskill.Rating(mu=25.020, sigma=1.885)","trueskill.Rating(mu=29.413, sigma=0.800)","trueskill.Rating(mu=25.276, sigma=1.927)"
2340842,343,115,1.53,2.37,1,0.606,0.394,"trueskill.Rating(mu=27.204, sigma=0.800)","trueskill.Rating(mu=25.454, sigma=0.803)","trueskill.Rating(mu=27.135, sigma=0.800)","trueskill.Rating(mu=25.522, sigma=0.803)"
2340841,632,560,1.4,2.75,2,0.5800000000000001,0.42,"trueskill.Rating(mu=27.597, sigma=0.822)","trueskill.Rating(mu=28.600, sigma=0.795)","trueskill.Rating(mu=27.491, sigma=0.823)","trueskill.Rating(mu=28.699, sigma=0.796)"
2340945,111,2,2.62,1.44,2,0.46799999999999997,0.532,"trueskill.Rating(mu=27.710, sigma=1.508)","trueskill.Rating(mu=26.850, sigma=0.800)","trueskill.Rating(mu=27.422, sigma=1.536)","trueskill.Rating(mu=26.929, sigma=0.800)"
2340943,224,180,2.75,1.4,1,0.434,0.5660000000000001,"trueskill.Rating(mu=27.288, sigma=1.999)","trueskill.Rating(mu=27.541, sigma=1.109)","trueskill.Rating(mu=26.673, sigma=2.074)","trueskill.Rating(mu=27.720, sigma=1.118)"
2340908,558,347,4.5,1.16,1,0.352,0.648,"trueskill.Rating(mu=26.610, sigma=0.799)","trueskill.Rating(mu=28.657, sigma=0.796)","trueskill.Rating(mu=26.496, sigma=0.799)","trueskill.Rating(mu=28.770, sigma=0.796)"
2340868,652,211,2.0,1.72,1,0.519,0.481,"trueskill.Rating(mu=28.720, sigma=0.803)","trueskill.Rating(mu=28.268, sigma=0.804)","trueskill.Rating(mu=28.636, sigma=0.803)","trueskill.Rating(mu=28.352, sigma=0.804)"
2340947,301,584,1.04,9.0,1,0.877,0.123,"trueskill.Rating(mu=28.388, sigma=0.801)","trueskill.Rating(mu=17.891, sigma=5.254)","trueskill.Rating(mu=28.370, sigma=0.798)","trueskill.Rating(mu=18.813, sigma=5.716)"
2340946,313,192,2.5,1.5,2,0.498,0.502,"trueskill.Rating(mu=27.782, sigma=0.853)","trueskill.Rating(mu=27.571, sigma=0.812)","trueskill.Rating(mu=27.685, sigma=0.854)","trueskill.Rating(mu=27.659, sigma=0.813)"
2341167,634,219,1.36,3.0,2,0.5720000000000001,0.428,"trueskill.Rating(mu=26.266, sigma=2.491)","trueskill.Rating(mu=26.367, sigma=0.856)","trueskill.Rating(mu=25.283, sigma=2.641)","trueskill.Rating(mu=26.471, sigma=0.857)"
2340889,483,538,1.04,9.0,1,0.789,0.21099999999999997,"trueskill.Rating(mu=25.919, sigma=0.887)","trueskill.Rating(mu=19.460, sigma=3.548)","trueskill.Rating(mu=25.878, sigma=0.886)","trueskill.Rating(mu=20.204, sigma=3.788)"
2340887,634,572,1.8,1.9,1,0.602,0.398,"trueskill.Rating(mu=26.444, sigma=0.855)","trueskill.Rating(mu=24.524, sigma=1.511)","trueskill.Rating(mu=26.367, sigma=0.856)","trueskill.Rating(mu=24.770, sigma=1.536)"
2340870,193,213,1.14,5.0,1,0.551,0.44899999999999995,"trueskill.Rating(mu=27.720, sigma=0.794)","trueskill.Rating(mu=26.799, sigma=0.807)","trueskill.Rating(mu=27.644, sigma=0.794)","trueskill.Rating(mu=26.878, sigma=0.807)"
2340844,137,56,6.5,1.1,2,0.33899999999999997,0.661,"trueskill.Rating(mu=29.518, sigma=0.802)","trueskill.Rating(mu=26.901, sigma=0.796)","trueskill.Rating(mu=29.458, sigma=0.802)","trueskill.Rating(mu=26.960, sigma=0.796)"
2341157,634,460,1.25,3.75,2,0.755,0.245,"trueskill.Rating(mu=26.504, sigma=4.974)","trueskill.Rating(mu=26.337, sigma=0.856)","trueskill.Rating(mu=20.363, sigma=6.493)","trueskill.Rating(mu=26.444, sigma=0.855)"
2341170,213,361,1.53,2.37,2,0.748,0.252,"trueskill.Rating(mu=24.000, sigma=2.689)","trueskill.Rating(mu=26.674, sigma=0.806)","trueskill.Rating(mu=22.382, sigma=2.909)","trueskill.Rating(mu=26.799, sigma=0.807)"
2340912,660,347,6.0,1.11,2,0.275,0.725,"trueskill.Rating(mu=28.705, sigma=0.797)","trueskill.Rating(mu=24.728, sigma=1.706)","trueskill.Rating(mu=28.657, sigma=0.796)","trueskill.Rating(mu=24.953, sigma=1.738)"
